,manga_id,Title,url
2038,84470,Dei Ecchi Ei (Light Novel),https://www.anime-planet.com/manga/dei-ecchi-ei-light-novel
2039,61313,Deisui Kanojo “Otouto-kun Daishuki” “Kaere” (Light Novel),https://www.anime-planet.com/manga/deisui-kanojo-otouto-kun-daishuki-kaere-light-novel
2040,86237,Dekasegi Reijou no Konyaku Soudou: Jiki Koushaku-sama wa Fianse ni Aisaretakute Hisshidesu. (Light Novel),https://www.anime-planet.com/manga/dekasegi-reijou-no-konyaku-soudou-jiki-koushaku-sama-wa-fianse-ni-aisaretakute-hisshidesu-light-novel
2041,36609,Dekiai Alpha ni Metomerareta Hotel-ou (Light Novel),https://www.anime-planet.com/manga/dekiai-alpha-ni-metomerareta-hotel-ou-light-novel
2042,48783,Dekiai Café de Kuchizuke wo (Light Novel),https://www.anime-planet.com/manga/dekiai-caf-de-kuchizuke-wo-light-novel
2043,49248,Dekiai Concerto: Onzoushi wa Hanayome wo Sokubaku suru (Light Novel),https://www.anime-planet.com/manga/dekiai-concerto-onzoushi-wa-hanayome-wo-sokubaku-suru-light-novel
2044,55568,Dekiai Days (Light Novel),https://www.anime-planet.com/manga/dekiai-days-light-novel
2045,38419,Dekiai Denka no Hisoka na Tanoshimi (Light Novel),https://www.anime-planet.com/manga/dekiai-denka-no-hisoka-na-tanoshimi-light-novel
2046,31606,Dekiai Denka to Tennen Princess (Light Novel),https://www.anime-planet.com/manga/dekiai-denka-to-tennen-princess-light-novel
2047,48564,Dekiai Ecstasy: Tensai Choukokuka no Yuuwaku (Light Novel),https://www.anime-planet.com/manga/dekiai-ecstasy-tensai-choukokuka-no-yuuwaku-light-novel
2048,54414,Dekiai Étude: Osananajimi no Amai Yubisaki (Light Novel),https://www.anime-planet.com/manga/dekiai-etude-osananajimi-no-amai-yubisaki-light-novel
2049,48595,Dekiai Gikon: Niizuma wa Midara ni Midasare (Light Novel),https://www.anime-planet.com/manga/dekiai-gikon-niizuma-wa-midara-ni-midasare-light-novel
2050,48440,Dekiai Hanayome: Asa ni Nure Yoru ni Midare (Light Novel),https://www.anime-planet.com/manga/dekiai-hanayome-asa-ni-nure-yoru-ni-midare-light-novel
2051,47004,Dekiai Harem: Ou ni Kawareta Houseki-hime (Light Novel),https://www.anime-planet.com/manga/dekiai-harem-ou-ni-kawareta-houseki-hime-light-novel
2052,94607,Dekiai Kareshi (Light Novel),https://www.anime-planet.com/manga/dekiai-kareshi-light-novel
2053,50436,Dekiaikei Choukyou Office: Cool na Hisho no Atsui Yubi ni Midasarete (Light Novel),https://www.anime-planet.com/manga/dekiaikei-choukyou-office-cool-na-hisho-no-atsui-yubi-ni-midasarete-light-novel
2054,46995,Dekiai Kinshi!? Cool na Shachou ga Ookami-san ni Hyouhenchuu (Light Novel),https://www.anime-planet.com/manga/dekiai-kinshi-cool-na-shachou-ga-ookami-san-ni-hyouhenchuu-light-novel
2055,46998,Dekiai Koutei no Hanayome Ikusei Keikaku (Light Novel),https://www.anime-planet.com/manga/dekiai-koutei-no-hanayome-ikusei-keikaku-light-novel
